Player,Pos,Age,Tm,G,PTS,TRB,AST,STL,BLK,FG%,3P%,2P%,FT%
Derrick Rose,PG,34,NYK,27,5.6,1.5,1.7,0.3,0.2,0.384,0.302,0.438,0.917
Terrence Ross,SG,31,TOT,63,8.3,2.4,1.5,0.6,0.2,0.43,0.368,0.507,0.794
Terrence Ross,SG,31,ORL,42,8,2,1.3,0.6,0.2,0.431,0.381,0.489,0.75
Terrence Ross,SG,31,PHO,21,9,3.3,2,0.5,0.1,0.428,0.347,0.544,0.857
Terry Rozier,SG,28,CHO,63,21.1,4.1,5.1,1.2,0.3,0.415,0.327,0.48,0.809
Ricky Rubio,PG,32,CLE,33,5.2,2.1,3.5,0.8,0.2,0.343,0.256,0.417,0.8
D'Angelo Russell,PG,26,TOT,71,17.8,3,6.2,1,0.4,0.469,0.396,0.548,0.829
D'Angelo Russell,PG,26,MIN,54,17.9,3.1,6.2,1.1,0.4,0.465,0.391,0.546,0.856
D'Angelo Russell,PG,26,LAL,17,17.4,2.9,6.1,0.6,0.5,0.484,0.414,0.555,0.735
Matt Ryan,SF,25,TOT,34,3.6,0.8,0.5,0.1,0,0.37,0.381,0.333,0.833
Matt Ryan,SF,25,LAL,12,3.9,1.2,0.3,0.2,0,0.306,0.371,0.143,0.8
Matt Ryan,SF,25,MIN,22,3.4,0.5,0.5,0.1,0,0.424,0.388,0.6,0.857
Domantas Sabonis,C,26,SAC,79,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.639,0.742
Luka Samanic,PF,23,UTA,7,9.9,4.3,2.1,0.9,0.3,0.456,0.258,0.692,0.692
Dario Saric,PF-C,28,TOT,57,6.4,3.6,1.3,0.4,0.1,0.458,0.391,0.506,0.829
Dario Saric,PF,28,PHO,37,5.8,3.8,1.5,0.4,0.1,0.427,0.391,0.45,0.818
Dario Saric,C,28,OKC,20,7.4,3.3,0.9,0.4,0.1,0.515,0.391,0.623,0.844
Olivier Sarr,C,23,OKC,9,4,3.4,0.4,0.1,0.6,0.5,0.125,0.636,0.714
Jordan Schakel,SF,24,WAS,2,1.5,0,0.5,0.5,0,0.5,1,0,0
Admiral Schofield,PF,25,ORL,37,4.2,1.7,0.8,0.2,0.1,0.451,0.324,0.646,0.913
Dennis Schroder,PG,29,LAL,66,12.6,2.5,4.5,0.8,0.2,0.415,0.329,0.461,0.857
Jay Scrubb,SG,22,ORL,2,6.5,3,0.5,1,0,0.714,1,0.6,0.5
Dereon Seabron,SG,22,NOP,5,0.8,0.2,0,0,0,0.4,0,0.4,0
Alperen Sengun,C,20,HOU,75,14.8,9,3.9,0.9,0.9,0.553,0.333,0.57,0.715
Collin Sexton,PG,24,UTA,48,14.3,2.2,2.9,0.6,0.1,0.506,0.393,0.546,0.819
Landry Shamet,SG,25,PHO,40,8.7,1.7,2.3,0.7,0.1,0.377,0.377,0.376,0.882
Day'Ron Sharpe,C,21,BRK,48,4.7,4.2,0.8,0.3,0.7,0.544,0.545,0.544,0.636
Shaedon Sharpe,SG,19,POR,80,9.9,3,1.2,0.5,0.3,0.472,0.36,0.559,0.714
Pascal Siakam,PF,28,TOR,71,24.2,7.8,5.8,0.9,0.5,0.48,0.324,0.523,0.774
Chris Silva,PF,26,DAL,1,2,0,0,0,0,1,0,1,0
Ben Simmons,PG,26,BRK,42,6.9,6.3,6.1,1.3,0.6,0.566,0,0.571,0.439
Kobi Simmons,SG,25,CHO,5,1,0.8,1,0,0.4,0.167,0.2,0,1
Marko Simonovic,C,23,CHI,7,0.9,0.3,0,0,0,0.286,0.25,0.333,0.5
Anfernee Simons,SG,23,POR,62,21.1,2.6,4.1,0.7,0.2,0.447,0.377,0.528,0.894
Jericho Sims,C,24,NYK,52,3.4,4.7,0.5,0.3,0.5,0.776,0,0.783,0.75
Marcus Smart,PG,28,BOS,61,11.5,3.1,6.3,1.5,0.4,0.415,0.336,0.519,0.746
Dennis Smith Jr.,PG,25,CHO,54,8.8,3.1,4.8,1.4,0.5,0.412,0.216,0.475,0.736
Dru Smith,SG,25,TOT,15,2.9,1.6,1.5,0.7,0.3,0.4,0.263,0.5,1
Dru Smith,SG,25,MIA,5,2.2,1.8,1,0.8,0.6,0.357,0.167,0.5,0
Dru Smith,SG,25,BRK,10,3.3,1.5,1.7,0.6,0.1,0.419,0.308,0.5,1
Ish Smith,PG,34,DEN,43,2.5,1.3,2.3,0.2,0.2,0.397,0.167,0.42,0.5
Jabari Smith Jr.,PF,19,HOU,79,12.8,7.2,1.3,0.5,0.9,0.408,0.307,0.487,0.786
Jalen Smith,C,22,IND,68,9.4,5.8,1,0.3,0.9,0.476,0.283,0.593,0.759
Xavier Sneed,SF,25,CHO,4,4.3,1.3,1.3,0,0.3,0.5,0.5,0.5,1
Jeremy Sochan,PF,19,SAS,56,11,5.3,2.5,0.8,0.4,0.453,0.246,0.519,0.698
Jaden Springer,SG,20,PHI,16,2.6,0.9,0.5,0.4,0.2,0.486,0.4,0.5,0.75
Lamar Stevens,SF,25,CLE,62,5.3,3.3,0.5,0.4,0.3,0.448,0.316,0.513,0.702
Isaiah Stewart,C,21,DET,50,11.3,8.1,1.4,0.4,0.7,0.442,0.327,0.542,0.738
Max Strus,SF,26,MIA,80,11.5,3.2,2.1,0.5,0.2,0.41,0.35,0.559,0.876
Jalen Suggs,SG,21,ORL,53,9.9,3,2.9,1.3,0.5,0.419,0.327,0.496,0.723
Edmond Sumner,SG,27,BRK,53,7.1,1.5,1.3,0.6,0.2,0.461,0.356,0.511,0.917
Cole Swider,SF,23,LAL,7,1.3,1,0.6,0,0,0.333,0.375,0,0
Jae'Sean Tate,SF,27,HOU,31,9.1,3.8,2.7,0.7,0.2,0.48,0.283,0.53,0.725
Jayson Tatum,SF,24,BOS,74,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.558,0.854
Terry Taylor,PF,23,TOT,31,2.9,1.5,0.3,0.1,0.2,0.52,0.263,0.607,0.545
Terry Taylor,PF,23,IND,26,2.7,1.5,0.4,0.1,0.2,0.462,0.222,0.553,0.714
Terry Taylor,PF,23,CHI,5,4,1.6,0,0,0.2,0.9,1,0.889,0.25
Garrett Temple,SG,36,NOP,25,2,0.7,0.5,0.4,0.1,0.4,0.423,0.368,0.75
Dalen Terry,SG,20,CHI,38,2.2,1,0.6,0.3,0.1,0.444,0.259,0.556,0.667
Daniel Theis,C,30,IND,7,7,3.1,1.3,0.3,0.9,0.477,0.182,0.576,0.417
Cam Thomas,SG,21,BRK,57,10.6,1.7,1.4,0.4,0.1,0.441,0.383,0.464,0.868
Klay Thompson,SF,32,GSW,69,21.9,4.1,2.4,0.7,0.4,0.436,0.412,0.47,0.879
JT Thor,PF,20,CHO,69,3.8,2.2,0.5,0.3,0.3,0.399,0.317,0.487,0.702
